implementation,threads,compress_seconds,throughput_mbps,compression_ratio,input_bytes,output_bytes
lbzip2,1,1.206873,9.248,.234018,11162624,2612264
lbzip2,1,1.195996,9.332,.234018,11162624,2612264
lbzip2,1,1.203709,9.273,.234018,11162624,2612264
lbzip2,2,.627884,17.777,.234018,11162624,2612264
lbzip2,2,.625034,17.858,.234018,11162624,2612264
lbzip2,2,.624329,17.878,.234018,11162624,2612264
lbzip2,4,.350700,31.827,.234018,11162624,2612264
lbzip2,4,.347730,32.099,.234018,11162624,2612264
lbzip2,4,.349983,31.892,.234018,11162624,2612264
lbzip2,8,.230458,48.433,.234018,11162624,2612264
lbzip2,8,.230515,48.422,.234018,11162624,2612264
lbzip2,8,.223355,49.974,.234018,11162624,2612264
lbzip2,144,.166174,67.170,.234018,11162624,2612264
lbzip2,144,.168718,66.157,.234018,11162624,2612264
lbzip2,144,.171098,65.237,.234018,11162624,2612264
