implementation,threads,compress_seconds,throughput_mbps,compression_ratio,input_bytes,output_bytes
pbzip2,1,81.021212,13.364,0.233903,1082774528,253264533
pbzip2,1,80.961215,13.374,0.233903,1082774528,253264533
pbzip2,1,81.412727,13.300,0.233903,1082774528,253264533
pbzip2,2,41.002541,26.407,0.233903,1082774528,253264533
pbzip2,2,41.300672,26.217,0.233903,1082774528,253264533
pbzip2,2,41.676027,25.981,0.233903,1082774528,253264533
pbzip2,4,20.956250,51.668,0.233903,1082774528,253264533
pbzip2,4,20.720057,52.257,0.233903,1082774528,253264533
pbzip2,4,20.993773,51.576,0.233903,1082774528,253264533
pbzip2,8,10.982127,98.594,0.233903,1082774528,253264533
pbzip2,8,10.725651,100.952,0.233903,1082774528,253264533
pbzip2,8,10.553710,102.597,0.233903,1082774528,253264533
pbzip2,16,5.976414,181.175,0.233903,1082774528,253264533
pbzip2,16,5.867580,184.535,0.233903,1082774528,253264533
pbzip2,16,5.827962,185.790,0.233903,1082774528,253264533
pbzip2,32,3.689989,293.436,0.233903,1082774528,253264533
pbzip2,32,3.783768,286.163,0.233903,1082774528,253264533
pbzip2,32,3.892252,278.187,0.233903,1082774528,253264533
