block_size,blocks,compress_seconds,compression_ratio,elapsed_s,input,input_bytes,level,max_rss_kb,output_bytes,repeat,threads,throughput_mbps
900000,1204,85.960397,0.2607511542790929,86.94,bench_large_1g.bin,1082774528,9,1344384,282334708,0,1,12.59620203941124
900000,1204,85.795332,0.2607511542790929,87.03999999999999,bench_large_1g.bin,1082774528,9,1344384,282334708,1,1,12.620436365931889
900000,1204,85.616222,0.2607511542790929,86.85,bench_large_1g.bin,1082774528,9,1344384,282334708,2,1,12.646838446106626
900000,1204,42.806729,0.2607511542790929,44.04,bench_large_1g.bin,1082774528,9,1350144,282334708,0,2,25.294493489563287
900000,1204,43.16491,0.2607511542790929,44.44,bench_large_1g.bin,1082774528,9,1350144,282334708,1,2,25.08460061656563
900000,1204,42.874423,0.2607511542790929,43.76,bench_large_1g.bin,1082774528,9,1351296,282334708,2,2,25.2545562653986
900000,1204,21.608899,0.2607511542790929,22.89,bench_large_1g.bin,1082774528,9,1361664,282334708,0,4,50.107806418087286
900000,1204,21.79334,0.2607511542790929,22.72,bench_large_1g.bin,1082774528,9,1361664,282334708,1,4,49.68373493920619
900000,1204,21.720388,0.2607511542790929,23.02,bench_large_1g.bin,1082774528,9,1361664,282334708,2,4,49.85060708860265
900000,1204,11.232441,0.2607511542790929,12.5,bench_large_1g.bin,1082774528,9,1384704,282334708,0,8,96.39708127556601
900000,1204,10.978495,0.2607511542790929,12.23,bench_large_1g.bin,1082774528,9,1383552,282334708,1,8,98.62686351817803
900000,1204,11.159181,0.2607511542790929,12.4,bench_large_1g.bin,1082774528,9,1385856,282334708,2,8,97.02992791316854
900000,1204,5.806638,0.2607511542790929,6.93,bench_large_1g.bin,1082774528,9,1431936,282334708,0,16,186.47184963140458
900000,1204,5.99188,0.2607511542790929,7.32,bench_large_1g.bin,1082774528,9,1430784,282334708,1,16,180.706978110376
900000,1204,5.807964,0.2607511542790929,6.71,bench_large_1g.bin,1082774528,9,1431936,282334708,2,16,186.42927676548956
900000,1204,3.411875,0.2607511542790929,4.62,bench_large_1g.bin,1082774528,9,1529856,282334708,0,32,317.35468855101664
900000,1204,3.160476,0.2607511542790929,4.12,bench_large_1g.bin,1082774528,9,1527552,282334708,1,32,342.5985604700051
900000,1204,3.044174,0.2607511542790929,4.01,bench_large_1g.bin,1082774528,9,1529856,282334708,2,32,355.6874633315967
900000,1204,2.168446,0.2607511542790929,3.1,bench_large_1g.bin,1082774528,9,1714176,282334708,0,64,499.33202302478367
900000,1204,2.151496,0.2607511542790929,3.38,bench_large_1g.bin,1082774528,9,1713024,282334708,1,64,503.26588011318637
900000,1204,2.105078,0.2607511542790929,3.1,bench_large_1g.bin,1082774528,9,1713024,282334708,2,64,514.3631390380784
900000,1204,1.902681,0.2607511542790929,2.84,bench_large_1g.bin,1082774528,9,1903104,282334708,0,96,569.0783310497135
900000,1204,1.901809,0.2607511542790929,2.92,bench_large_1g.bin,1082774528,9,1901952,282334708,1,96,569.3392596207084
900000,1204,1.956147,0.2607511542790929,2.93,bench_large_1g.bin,1082774528,9,1901952,282334708,2,96,553.5241104068355
900000,1204,1.831387,0.2607511542790929,2.82,bench_large_1g.bin,1082774528,9,2184192,282334708,0,144,591.2319613495126
900000,1204,1.828101,0.2607511542790929,2.83,bench_large_1g.bin,1082774528,9,2191104,282334708,1,144,592.2946970654247
900000,1204,1.807458,0.2607511542790929,2.78,bench_large_1g.bin,1082774528,9,2184192,282334708,2,144,599.0593020695363
